YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,29,"San Luis - Capital",1903/01/29,,,,,,,,,,,,,,,,,,,,,,,
1903,1,30,"San Luis - Capital",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"San Luis - Capital",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"San Luis - Capital",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,"San Luis - Capital",1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
1903,2,3,"San Luis - Capital",1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
1903,2,4,"San Luis - Capital",1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,"San Luis - Capital",1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,"San Luis - Capital",1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,"San Luis - Capital",1903/02/07,,,,,,,,,,,,,,,,,,,,,,,
1903,2,8,"San Luis - Capital",1903/02/08,,,,,,,,,,,,,,,,,,,,,,,
1903,2,9,"San Luis - Capital",1903/02/09,,,,,,,,,,,,,,,,,,,,,,,
1903,2,10,"San Luis - Capital",1903/02/10,,,,,,,,,,,,,,,,,,,,,,,
1903,2,11,"San Luis - Capital",1903/02/11,,,,,,,,,,,,,,,,,,,,,,,
1903,2,12,"San Luis - Capital",1903/02/12,,,,,,,,,,,,,,,,,,,,,,,
1903,2,13,"San Luis - Capital",1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,"San Luis - Capital",1903/02/14,,,,,,,,,,,,,,,,,,,,,,,
1903,2,15,"San Luis - Capital",1903/02/15,,,,,,,,,,,,,,,,,,,,,,,
1903,2,16,"San Luis - Capital",1903/02/16,,,,,,,,,,,,,,,,,,,,,,,
1903,2,17,"San Luis - Capital",1903/02/17,,,,,,,,,,,,,,,,,,,,,,,
1903,2,18,"San Luis - Capital",1903/02/18,,,,,,,,,,,,,,,,,,,,,,,
