"List of stations"
"JUJUY - Capital"
"Abra Pampa"
Humahuaca
"La Quiaca"
Tumbaya
"SALTA - Capital"
"Rosario de la Frontera"
"San Carlos"
"TUCUMAN - Capital"
Burruyacu
Concepcion
"La Cocha"
Trancas
"CATAMARCA - Capital"
Andalgala
Recreo
"Santa Maria"
Tinogasta
"RIOJA - Chilecito"
"SAN JUAN - Capital"
"MENDOZA - Capital"
"San Luis V. MERCEDES"
"CORDOBA - Capital"
Arias
"CanCana Verde"
"Dique San Roque"
"La Carlota"
"La Cautiva"
Quilino
"Rio Cuarto"
"Villa Maria"
"CHACO - La Sabana"
"FORMOSA - Formosa"
Ceres
Esperanza
Vera
"V. Casilda"
"CORRIENTES - Capital"
Curuzu-Cuatia
Esquina
Goya
"Paso de los Libres"
"San Lorenzo"
"Santo Tome"
Ytaybate
"MISIONES - Posadas"
"ENTRE RIOS - Delicias"
Concordia
Gualeguay
"Pueblo Brugo"
Uruguay
Villaguay
"CAPITAL FEDERAL"
"BUENOS AIRES - Azul"
"Bahia Blanca"
Balcarce
Bolivar
Chivilcoy
"Coronel Pringles"
Dolores
"General Villegas"
Guamini
Junin
"La Plata"
"Las Flores"
"Mar del Plata"
Necochea
"9 de Julio"
Patagones
"Puerto Militar"
"San Nicolas"
"San Blas"
Tandil
"Tres Arroyos"
"Trenque Lauquen"
Zarate
"PAMPA - Acha"
Bernasconi
"General Uriburu"
"RIO NEGRO - Roca"
"B. Parada"
"Choele Choel"
Conesa
"San Antonio"
"Sierra Grande"
"CHUBUT - Madryn"
"Cabo Raso"
Camarones
"C. Rivadavia"
"Dos Pozos"
Malaspina
"Pico Salamanca"
"SANTA CRUZ - Mazaredo"
"Caleta Olivia"
"P. Deseado"
"Santa Cruz"
"NEUQUEN - Arroyitos"
"Cabo Alarcon"
"Las Lajas"
"Nahuel Huapi"
Neuquen
"Piedra de Aguila"
Tratayen
"PARAGUAY - Asuncion"
"BRASIL - Rio de Janeiro"
"Canada Verde"
Arocena
"San Cristobal"
Lujan
Tostado
"SANTIAGO - Corral"
"Suncho Corral"
"Rio Grande do Sul"
Florianopolis
Curityba
"P. Gallegos"
Arenas
"C. Virgenes"
Jachal
"Cuadro Nacional"
"La Paz"
"San Luis - Capital"
"Buena Esperanza"
"Villa Mercedes"
"RIO NEGRO - Choele Choel"
"Colonia Sarmiento"
"Chos - Malal"
Cuyaba
"CHILE - P.  Arenas"
"P. Coyle"
"S. Julian"
"Canadon de las Vacas"
Canadon
"San Julian"
"SANTIAGO - Capital"
"SANTA FE - Capital"
Norquinco
Cholila
"16 de Octubre"
"Buena Esperanza "
"F. Roca"
"NEUQUEN-Cabo Alarcon"
"Cruz del Eje"
"Rio Seco"
"Las Cuevas"
Chamical
Rioja
Chilcas
MONTEVIDEO
"Bell Ville"
Renca
"San Francisco"
"V. Concepcion"
