"List of stations"
JUJUY-Capital
"Salta-La Merced"
TUCUMAN-Capital
"La Cocha"
Conception-TUCUMAN
Concepcion-MISSIONES
CATAMARCA-Capital
Andalgalá
"Santa Maria"
"San Martin"
RIOJA-Capital
Chilecito
"SAN JUAN-Capital"
MENDOZA-Capital
"SAN LUIS"
"Villa Mercedes"
CORDOBA-Capital
"Dique San Roque"
"San Jorge"
"Villa Maria"
"Rio Cuarto"
"La Carlota"
"La Cautiva"
"Cañada Verde"
Arias
"SANTA FE-Capital"
Esperanza
Carcarañá
Rosario
CORRIENTES-Capital
"San Lorenzo"
Goya
Esquina
Curuzú-Cuatiá
"Paso de los Libres"
"ENTRE RIOS-Delicias"
"Pueblo Brugo"
Villaguay
Gualeguay
"CAPITAL FEDERAL"
"BUENOS AIRES-Junin"
"San Nicolás"
"Estacion Pereyra"
Balcarce
"Bahia Blanca"
"Puerto Militar"
Patagones
"PAMPA - Acha"
Bernasconi
"RIO NEGRO-Roca"
"San Antonio"
"Sierra Grande"
CHUBUT-Madryn
"Dos Pozos"
"Cabo Raso"
Camarones
Malaspina
"Pico Salamanca"
"C. Rivadavia"
"Sta. CRUZ-Mazaredo"
"Cabo Blanco"
"P. Deseado"
PARAGUAY-Asunción
Recreo
Tinogasta
Quilino
Uruguay
Concordia
Conesa
"Choele Choel"
Trancas
Burruyacu
Vera
"San Carlos"
"Rosario de la Frontera"
"Piedra de Aguila"
"Cabo Alarcon"
SALTA
"CHACO - La Sábana"
"FORMOSA - Formosa"
"BUENOS AIRES-Azul"
"Trenque Lauquen"
"NEUQUEN - Pilcaneyen"
Arroyitos
Ytaybate
Quiaca
"Abra Pampa"
MISIONES-Posadas
Humahuaca
"Caleta Olivia"
Tumbaya
"Santo Tomé"
"Las Lajas"
RIOJA-Chilecito
"SAN LUIS-V. Mercedes"
Ceres
"B. Mitre"
Chivilcoy
"Coronel Pringles"
Dolores
"La Plata"
"Las Flores"
"Mar del Plata"
Necochea
"9 de Julio"
Olavarria
Saladillo
"San Blas"
Tandil
"Tres Arroyos"
Zárate
Tratayen
"V. Casilda"
"NEQUEN - Arroyitos"
"B. Parada"
"Neuquen  "
"General Uriburu"
"General Villegas"
Guaminí
Bolivar
"N. Huapí"
"Santa Cruz"
