YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1902,4,26,"Salta-La Merced",1902/04/26,763.7,4.4,18,-4,18,9,80,N,1,K,3,,,,,,,,,,,,
1902,4,27,"Salta-La Merced",1902/04/27,763.3,-0.4,19,1,19,9,63,NE,1,K,3,,,,,,,,,,,,
1902,4,29,"Salta-La Merced",1902/04/29,764.2,-0.2,19,-1,19,9,72,NE,2,K,3,,,,,,,,,,,,
1902,5,3,"Salta-La Merced",1902/05/03,,,,,,,,,,,,,,,,,,,,,,,
1902,5,4,"Salta-La Merced",1902/05/04,,,26,,26,5,42,NE,2,,0,,,,,,,,,,,,
1902,5,6,"Salta-La Merced",1902/05/06,757.4,-1.4,25,0,25,7,61,N,2,K,2,,,,,,,,,,,,
1902,5,8,"Salta-La Merced",1902/05/08,753.4,-1.5,27,1,27,6,49,NE,1,S,1,,,,,,,,,,,,
1902,5,16,"Salta-La Merced",1902/05/16,763.8,2.5,14,-11,14,4,67,NE,1,K,3,,,,,,,,,,,,
1902,5,17,"Salta-La Merced",1902/05/17,762.9,-2.9,20,6,20,0,55,NE,1,,0,,,,,,,,,,,,
1902,5,18,"Salta-La Merced",1902/05/18,761.8,-1.1,22,2,22,-2,58,NE,1,,0,,,,,,,,,,,,
1902,5,19,"Salta-La Merced",1902/05/19,761.8,0,23,1,23,-1,52,NE,2,,0,,,,,,,,,,,,
1902,5,20,"Salta-La Merced",1902/05/20,759.4,-2.4,22,-1,22,0,58,SW,1,,0,,,,,,,,,,,,
1902,5,21,"Salta-La Merced",1902/05/21,758.9,-0.5,23,1,23,3,59,NE,1,CS,1,,,,,,,,,,,,
1902,5,22,"Salta-La Merced",1902/05/22,761.7,2.8,23,0,23,3,52,SW,1,C,1,,,,,,,,,,,,
1902,5,23,"Salta-La Merced",1902/05/23,760.4,-1.3,24,1,24,3,46,N,2,,0,,,,,,,,,,,,
1902,5,24,"Salta-La Merced",1902/05/24,758.5,-1.9,24,0,24,3,53,NE,1,,0,,,,,,,,,,,,
1902,5,25,"Salta-La Merced",1902/05/25,756.9,-1.6,25,1,25,3,47,NE,1,,0,,,,,,,,,,,,
1902,5,26,"Salta-La Merced",1902/05/26,756,-0.9,26,1,26,2,36,NW,1,,0,,,,,,,,,,,,
1902,5,27,"Salta-La Merced",1902/05/27,753.6,-2.4,25,-1,25,4,47,NE,1,S,1,,,,,,,,,,,,
1902,5,28,"Salta-La Merced",1902/05/28,763.7,10.1,14,-11,17,8,67,N,1,CN,3,,,,,,,,,,,,
1902,5,29,"Salta-La Merced",1902/05/29,763.1,-0.6,14,0,14,2,57,N,1,S,1,,,,,,,,,,,,
1902,5,30,"Salta-La Merced",1902/05/30,761.1,-2,15,1,15,3,68,SE,1,C,1,,,,,,,,,,,,
1902,5,31,"Salta-La Merced",1902/05/31,759.4,-1.7,21,6,21,-3,49,NE,2,,0,,,,,,,,,,,,
1902,6,1,"Salta-La Merced",1902/06/01,757.1,-2.3,24,3,25,-1,46,N,1,,0,,,,,,,,,,,,
1902,6,2,"Salta-La Merced",1902/06/02,753.5,-3.6,26,2,27,0,42,N,1,,0,,,,,,,,,,,,
1902,6,3,"Salta-La Merced",1902/06/03,756.4,2.9,23,-3,24,0,44,NE,2,,0,,,,,,,,,,,,
1902,6,4,"Salta-La Merced",1902/06/04,758.4,2,21,-2,21,5,65,NE,2,S,1,,,,,,,,,,,,
1902,6,5,"Salta-La Merced",1902/06/05,764.7,7.7,16,-3,17,3,69,NE,2,,0,,,,,,,,,,,,
1902,6,6,"Salta-La Merced",1902/06/06,760.3,-4.4,17,1,17,-5,61,E,1,C,1,,,,,,,,,,,,
1902,6,7,"Salta-La Merced",1902/06/07,763.6,3.3,15,-2,15,-3,68,E,3,C,1,,,,,,,,,,,,
1902,6,8,"Salta-La Merced",1902/06/08,764.1,0.5,15,0,15,-2,58,NE,2,,0,,,,,,,,,,,,
1902,6,9,"Salta-La Merced",1902/06/09,762.8,-1.3,17,2,17,-4,70,N,1,,0,,,,,,,,,,,,
1902,6,10,"Salta-La Merced",1902/06/10,756.4,-6.4,20,3,20,2,55,N,1,S,1,,,,,,,,,,,,
1902,6,11,"Salta-La Merced",1902/06/11,756.5,0.1,23,3,23,-2,31,NE,2,C,1,,,,,,,,,,,,
1902,6,12,"Salta-La Merced",1902/06/12,760.8,4.3,19,-4,19,3,72,NE,1,K,2,,,,,,,,,,,,
